generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
12,14,0.37837837837837834,0.00995996161818699,81,16,0.4,0.2,0.3,64,32,16,8
12,15,0.4827586206896552,0.005677918413839926,80,64,0.3,0.3,0.1,64,32,16,8
12,16,0.6666666666666667,0.01,76,16,0.0,0.3,0.3,64,32,16,8
12,17,0.28,0.005677918413839926,76,16,0.2,0.0,0.2,64,32,16,8
12,18,0.7461139896373057,0.01,67,16,0.1,0.0,0.2,64,32,16,8
12,19,0.4247787610619469,0.0027313428542782552,81,64,0.4,0.3,0.3,64,32,16,8
12,20,0.7578947368421053,0.01,67,32,0.4,0.3,0.2,64,32,16,8
13,1,0.7142857142857143,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
13,2,0.6818181818181818,0.01,90,16,0.2,0.3,0.3,64,32,16,8
13,3,0.71,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
13,4,0.7414634146341462,0.01,67,32,0.4,0.3,0.0,64,32,16,8
13,5,0.706422018348624,0.005677918413839926,84,64,0.3,0.2,0.2,64,32,16,8
13,6,0.15730337078651688,0.005677918413839926,84,64,0.3,0.3,0.0,64,32,16,8
13,7,0.5691056910569104,0.01,66,32,0.4,0.3,0.2,64,32,16,8
13,8,0.6968325791855204,0.005677918413839926,70,32,0.3,0.3,0.1,64,32,16,8
13,9,0.6509433962264151,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
13,10,0.6333333333333334,0.005677918413839926,70,16,0.3,0.3,0.2,64,32,16,8
13,11,0.7330316742081447,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
13,12,0.5909090909090909,0.005677918413839926,63,32,0.3,0.3,0.1,64,32,16,8
13,13,0.6329113924050632,0.01,70,32,0.3,0.3,0.1,64,32,16,8
13,14,0.5816326530612245,0.005677918413839926,84,64,0.4,0.3,0.0,64,32,16,8
13,15,0.4873949579831933,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
13,16,0.69811320754717,0.01,67,16,0.1,0.0,0.2,64,32,16,8
13,17,0.16842105263157894,0.007051262269126169,70,32,0.3,0.3,0.3,64,32,16,8
13,18,0.2909090909090909,0.01,76,32,0.3,0.3,0.2,64,32,16,8
13,19,0.32857142857142857,0.01,70,32,0.4,0.3,0.1,64,32,16,8
13,20,0.7192118226600984,0.00995996161818699,76,16,0.0,0.0,0.3,64,32,16,8
14,1,0.5760000000000001,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
14,2,0.7484662576687118,0.01,70,32,0.0,0.3,0.0,64,32,16,8
14,3,0.5666666666666667,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
14,4,0.70935960591133,0.00995996161818699,67,16,0.4,0.0,0.0,64,32,16,8
14,5,0.3119266055045872,0.01,76,32,0.4,0.0,0.3,64,32,16,8
14,6,0.6459627329192547,0.00995996161818699,76,16,0.0,0.1,0.3,64,32,16,8
14,7,0.6697247706422018,0.005677918413839926,84,64,0.0,0.2,0.2,64,32,16,8
14,8,0.7843137254901961,0.01,67,32,0.4,0.3,0.0,64,32,16,8
14,9,0.7121951219512195,0.005677918413839926,70,32,0.3,0.3,0.3,64,32,16,8
14,10,0.6960784313725491,0.01,76,16,0.4,0.0,0.3,64,32,16,8
14,11,0.6666666666666667,0.00995996161818699,76,16,0.0,0.0,0.3,64,32,16,8
14,12,0.1348314606741573,0.01,67,64,0.3,0.2,0.2,64,32,16,8
14,13,0.712962962962963,0.005677918413839926,84,16,0.1,0.0,0.2,64,32,16,8
14,14,0.6923076923076924,0.01,90,16,0.2,0.3,0.3,64,32,16,8
14,15,0.7207207207207208,0.01,72,16,0.4,0.0,0.3,64,32,16,8
14,16,0.6451612903225807,0.01,84,32,0.3,0.2,0.0,64,32,16,8
14,17,0.71,0.005677918413839926,67,64,0.3,0.3,0.2,64,32,16,8
14,18,0.5401459854014599,0.01,67,32,0.4,0.3,0.1,64,32,16,8
